0,F,55,F
1,M,11,A
2,M,50,A
3,F,30,E
4,M,75,E
5,F,40,A
6,F,71,F
7,F,46,E
8,F,52,A
9,F,61,E
10,F,25,E
11,M,11,A
12,F,60,F
13,F,71,C
14,F,51,B
15,M,18,D
16,M,37,F
17,F,37,D
18,M,52,B
19,F,15,E
20,F,30,A
21,F,35,B
22,M,78,B
23,F,49,B
24,M,13,B
25,F,18,B
26,M,85,D
27,M,30,E
28,F,44,C
29,M,40,A
30,M,22,A
31,F,17,F
32,F,16,F
33,M,58,C
34,F,31,C
35,F,71,A
36,F,16,C
37,M,64,C
38,M,12,F
39,M,43,F
40,F,41,C
41,M,51,B
42,F,72,B
43,M,28,A
44,F,16,F
45,F,58,D
46,F,45,C
47,F,45,F
48,F,61,D
49,F,13,F
50,M,52,F
51,F,58,B
52,M,11,D
53,F,48,A
54,M,70,C
55,M,77,C
56,M,17,D
57,F,83,B
58,M,23,E
59,M,22,B
60,F,37,C
61,F,40,C
62,F,41,B
63,F,81,B
64,M,79,A
65,M,33,A
66,F,46,E
67,M,54,B
68,M,56,C
69,M,45,A
70,F,53,F
71,M,67,D
72,M,76,D
73,M,59,C
74,F,80,A
75,F,42,E
76,M,51,A
77,F,52,E
78,M,25,C
79,F,69,E
80,F,34,D
81,M,29,B
82,F,28,D
83,F,48,A
84,F,42,D
85,F,36,E
86,F,44,F
87,M,40,C
88,F,60,D
89,M,14,C
90,M,51,F
91,F,55,A
92,F,59,A
93,M,62,D
94,M,69,C
95,M,74,D
96,M,70,F
97,M,57,D
98,F,43,C
99,M,55,D
100,F,48,C
101,M,17,F
102,M,62,C
103,F,26,D
104,F,57,D
105,M,48,C
106,F,75,E
107,F,58,F
108,M,29,F
109,F,30,D
110,M,77,E
111,M,67,F
112,F,61,E
113,F,27,F
114,M,59,D
115,M,47,E
116,M,57,A
117,M,64,B
118,M,58,A
119,F,74,A
120,M,37,F
121,F,13,C
122,F,10,B
123,M,57,C
124,F,52,E
125,M,69,C
126,F,28,B
127,F,15,F
128,F,57,E
129,M,79,F
130,M,31,F
131,M,20,C
132,F,12,E
133,M,40,C
134,M,47,D
135,M,75,B
136,F,67,C
137,M,60,C
138,F,14,D
139,M,37,E
140,M,82,B
141,F,85,C
142,M,46,F
143,F,82,D
144,M,63,A
145,F,38,E
146,M,45,B
147,M,26,A
148,F,74,D
149,M,52,E
150,F,28,F
151,F,57,F
152,F,71,A
153,F,46,A
154,F,42,E
155,M,46,F
156,F,31,D
157,M,63,E
158,M,62,E
159,M,17,A
160,M,62,A
161,M,37,C
162,M,85,D
163,F,51,B
164,M,63,E
165,F,83,B
166,F,68,B
167,M,50,F
168,F,17,F
169,M,35,E
170,F,40,F
171,F,21,C
172,F,56,B
173,F,22,D
174,M,58,F
175,M,61,B
176,F,37,B
177,F,21,E
178,M,20,B
179,F,80,B
180,M,68,C
181,F,45,D
182,M,79,F
183,F,43,C
184,F,40,D
185,F,64,F
186,M,71,C
187,F,82,F
188,M,27,D
189,M,32,E
190,F,23,C
191,F,79,E
192,M,60,E
193,F,19,F
194,M,17,B
195,M,53,E
196,F,12,F
197,F,21,D
198,F,71,C
199,M,57,F
200,F,22,A
201,F,54,A
202,M,25,A
203,M,64,B
204,M,83,C
205,F,35,B
206,M,68,D
207,M,32,A
208,M,15,F
209,M,57,B
210,M,63,D
211,M,72,A
212,F,50,A
213,M,17,C
214,M,80,F
215,M,13,B
216,F,32,B
217,M,35,A
218,F,23,B
219,M,83,A
220,F,25,D
221,M,62,E
222,F,33,A
223,F,54,B
224,F,70,D
225,M,74,D
226,M,72,E
227,M,75,F
228,M,69,B
229,M,32,C
230,F,66,A
231,M,29,B
232,F,48,F
233,M,33,E
234,M,48,F
235,M,13,B
236,M,85,C
237,M,74,C
238,F,64,A
239,M,14,B
240,M,53,F
241,M,54,C
242,F,48,A
243,M,57,E
244,F,78,E
245,F,78,F
246,M,78,A
247,M,26,B
248,F,12,D
249,F,16,D
250,F,21,F
251,F,56,D
252,M,69,A
253,F,55,D
254,F,84,B
255,F,16,D
256,F,62,F
257,F,48,D
258,M,80,A
259,F,55,A
260,F,23,F
261,F,47,D
262,F,47,D
263,F,70,F
264,M,81,F
265,F,58,B
266,F,51,D
267,M,40,D
268,M,72,B
269,F,24,E
270,M,37,A
271,F,74,B
272,F,65,F
273,F,18,B
274,M,31,D
275,M,11,B
276,F,56,F
277,F,22,E
278,M,35,F
279,M,14,A
280,M,34,D
281,F,45,A
282,F,76,B
283,F,30,D
284,M,27,C
285,F,48,A
286,F,41,A
287,M,27,C
288,F,13,A
289,F,83,D
290,M,78,B
291,M,67,A
292,F,68,E
293,F,36,C
294,M,57,C
295,M,62,E
296,F,23,D
297,F,16,B
298,M,64,F
299,M,58,B
300,F,72,B
301,M,84,E
302,M,44,B
303,F,39,E
304,F,13,B
305,M,74,D
306,M,12,D
307,F,83,F
308,F,13,D
309,F,17,C
310,F,26,F
311,F,13,C
312,M,27,C
313,M,62,C
314,F,43,E
315,M,40,A
316,F,74,A
317,F,72,F
318,M,74,F
319,M,62,E
320,F,66,F
321,F,55,A
322,F,39,E
323,M,70,C
