,Unnamed: 0,Page-1-Clicks,Page-2-Clicks,Page-3-Clicks,Page-4-Clicks,Page-5-Clicks,Page-6-Clicks,Page-7-Clicks,Page-8-Clicks,Page-9-Clicks,Page-10-Clicks,Food-Clicks,Gossip-Clicks,Politic-Clicks,Science-Clicks,Sport-Clicks,Tech-Clicks,Food-Allocations,Gossip-Allocations,Politic-Allocations,Science-Allocations,Sport-Allocations,Tech-Allocations,Page-1-Time,Page-2-Time,Page-3-Time,Page-4-Time,Page-5-Time,Page-6-Time,Page-7-Time,Page-8-Time,Page-9-Time,Page-10-Time
0,0,3.0,4.0,5.0,6.0,5.0,5.0,7.0,6.0,7.0,6.0,0,0,0,5,0,49,12,14,13,13,10,68,23.78,20.424,17.221,24.363000000000003,9.168,17.494,22.142,21.487,14.175999999999998,19.217
1,1,4.0,3.0,5.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,5,3,0,13,0,4,24,21,14,41,11,19,41.646,42.078,36.14,36.107,30.94,34.288000000000004,28.691,41.146,40.856,36.343
2,2,3.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,2,2,0,6,1,5,20,17,12,34,17,30,22.552,13.207,12.485999999999999,12.133,15.629000000000001,4.105,9.187999999999999,18.351,18.479,3.75
3,3,3.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,6.0,6.0,1,0,2,25,0,14,12,14,19,47,12,26,65.04899999999999,27.665,29.695999999999998,25.691,26.072,25.671,22.142,30.647,21.86,29.447
4,4,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,2.0,4,0,2,16,3,9,17,15,14,41,19,24,51.076,60.136,31.38,74.381,23.491999999999997,34.148,32.032,35.818000000000005,29.291999999999998,23.788
5,5,3.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,6.0,3.0,0,0,1,38,3,0,12,12,15,62,18,11,43.443000000000005,36.054,30.848000000000003,30.906,46.718,22.736,27.881999999999998,28.656999999999996,33.407,32.696999999999996
6,6,5.0,5.0,7.0,6.0,5.0,7.0,8.0,8.0,6.0,8.0,1,7,42,14,0,1,14,20,46,27,12,11,21.129,24.031,23.7,24.337,20.276,25.419,19.288,20.671,23.761,15.972999999999999
7,7,4.0,2.0,5.0,3.0,1.0,4.0,3.0,2.0,2.0,1.0,0,3,5,14,0,5,12,17,24,43,12,22,51.824,41.218,41.016999999999996,59.792,41.453,45.132,37.314,35.681,34.083,53.65
8,8,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,0,1,0,28,0,1,12,17,14,63,10,14,26.197,17.474,19.482,11.895,13.669,12.815,13.495999999999999,8.305,7.984,8.522
9,9,4.0,5.0,4.0,6.0,4.0,7.0,4.0,6.0,3.0,7.0,30,1,3,4,1,11,54,15,10,14,10,27,22.607,14.122,20.273,20.322,15.509,14.88,11.972000000000001,13.322000000000001,12.345,11.255999999999998
10,10,3.0,5.0,4.0,0.0,0.0,3.0,3.0,5.0,2.0,2.0,1,3,0,1,2,20,15,17,13,15,19,51,39.333,28.982,15.815999999999999,15.786,12.729000000000001,18.634,14.474,32.408,18.148,37.073
11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,23,24,22,19,22,20,15.3,14.350999999999999,7.337000000000001,6.07,5.202999999999999,7.94,8.962,5.817,4.946000000000001,4.994
12,12,1.0,1.0,2.0,1.0,2.0,5.0,3.0,4.0,3.0,4.0,0,0,1,24,0,1,13,14,17,54,15,17,27.699,30.52,31.136999999999997,32.202,43.757,32.609,29.705,28.496,27.813000000000002,27.05
13,13,3.0,2.0,2.0,3.0,3.0,1.0,0.0,2.0,2.0,1.0,0,0,1,9,0,9,14,12,18,40,10,36,50.912,22.616,26.568,25.392,29.441,17.141,26.935,27.269000000000002,21.820999999999998,48.842
14,14,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3,1,0,4,1,5,26,16,17,21,16,34,34.074,22.905,23.239,18.671,23.489,20.866999999999997,21.284000000000002,19.855,23.816,31.135
15,15,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0,0,3,0,1,5,18,14,28,20,18,32,6.819,8.19,10.103,15.79,15.187000000000001,15.19,19.3,18.067,21.691999999999997,10.685
16,16,3.0,1.0,5.0,5.0,4.0,7.0,4.0,8.0,5.0,3.0,4,0,0,36,1,4,15,13,14,58,15,15,12.427,9.187000000000001,21.831999999999997,19.779,15.828,16.641,15.222999999999999,21.2,16.0,26.698
17,17,3.0,3.0,3.0,5.0,2.0,1.0,2.0,3.0,1.0,1.0,0,1,1,8,0,14,14,14,19,29,12,42,37.044000000000004,23.654,21.298000000000002,25.151,19.738,15.869000000000002,19.582,20.394000000000002,22.974,18.107
18,18,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0,0,3,11,1,6,13,14,18,45,13,27,13.753,12.39,13.140999999999998,17.298,18.512,9.859,11.298,9.642000000000001,5.622999999999999,6.602
19,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1,1,2,3,1,22,23,18,23,25,19,28.18,14.26,7.6979999999999995,8.521,5.446000000000001,9.816,6.688,6.438,3.9589999999999996,7.586
20,20,7.0,3.0,1.0,7.0,8.0,7.0,9.0,7.0,8.0,6.0,1,0,3,49,3,7,11,10,14,60,16,19,62.974,36.798,48.638999999999996,46.602,38.897,44.887,37.427,38.173,35.77,36.246
21,21,2.0,3.0,4.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,1,0,0,17,0,4,13,15,13,55,15,19,46.852,24.320999999999998,13.341,15.124,18.941,22.142,16.611,10.09,24.963,12.630999999999998
22,22,4.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,1,0,2,25,1,2,15,11,15,59,15,15,63.56399999999999,30.261999999999997,43.137,36.66,50.588,35.625,39.569,31.013,40.875,45.04600000000001
23,23,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,1,0,0,3,2,36,22,14,16,24,18,32.617,7.655,7.148,10.189,12.185,6.37,4.636,4.909,5.76,5.649
24,24,3.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,1.0,4.0,0,0,1,22,5,1,14,13,17,55,20,11,47.07899999999999,33.099000000000004,16.804000000000002,31.08,23.735,32.328,24.234,19.083,19.861,19.707
25,25,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,1,0,1,25,0,5,19,15,14,50,11,21,49.69,50.39,25.886,28.066999999999997,23.675,33.524,27.065,29.145,38.928000000000004,45.244
26,26,2.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2,2,0,1,0,18,18,16,13,15,14,54,34.191,30.569000000000003,27.916999999999998,23.04,31.185,19.21,24.555999999999997,22.588,22.388,17.314
27,27,3.0,6.0,7.0,8.0,1.0,5.0,1.0,4.0,4.0,7.0,2,0,2,37,0,5,13,11,12,64,13,17,27.142,26.351,37.98,34.459,31.794,40.869,35.347,41.393,37.838,53.738
29,29,2.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,0,0,0,18,1,5,13,14,17,51,15,20,122.494,31.706,33.094,27.491999999999997,21.868000000000002,17.586,30.895,26.955,18.063,27.483
30,30,1.0,3.0,4.0,1.0,4.0,4.0,3.0,3.0,2.0,5.0,3,1,1,5,16,4,17,12,15,18,48,20,24.203000000000003,24.613000000000003,29.500999999999998,19.398,32.054,22.151,27.188000000000002,25.223000000000003,24.384,31.896
31,31,1.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,3.0,2.0,0,0,0,15,0,5,14,14,16,53,13,20,55.35,56.607,56.257,67.035,48.586999999999996,42.896,48.102,43.32,55.85,42.382
32,32,1.0,3.0,7.0,4.0,3.0,3.0,5.0,2.0,1.0,2.0,0,0,1,21,1,8,13,13,14,52,14,24,42.726000000000006,29.758000000000003,33.935,34.631,24.441999999999997,23.410999999999998,28.125999999999998,32.894,19.342,20.298
33,33,4.0,4.0,6.0,5.0,6.0,8.0,5.0,5.0,5.0,5.0,1,8,8,36,0,0,12,18,19,57,11,13,41.756,36.735,49.702,47.013999999999996,38.16,58.288000000000004,34.556999999999995,33.298,46.958999999999996,32.998000000000005
34,34,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,4.0,0,0,0,15,1,2,13,13,16,49,20,19,98.374,81.417,27.896,41.275,40.57,24.543000000000003,30.221999999999998,26.281,24.17,27.811
35,35,1.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,10,0,0,1,1,0,49,13,16,17,17,18,25.340999999999998,18.279,13.342,19.175,22.715,15.987,18.468,20.589000000000002,16.062,20.345
36,36,3.0,4.0,3.0,2.0,2.0,1.0,0.0,3.0,3.0,3.0,1,0,1,12,0,10,16,14,16,37,14,33,30.273000000000003,22.548000000000002,34.927,19.506,16.343,13.837,18.473,27.49,27.141,25.348000000000003
38,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,6,3,1,16,15,15,43,25,16,23.01,23.651999999999997,9.408,7.065,10.659,5.0680000000000005,3.81,10.405999999999999,5.064,8.78
39,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,2,0,8,14,16,18,23,16,43,48.473,25.750999999999998,17.509,23.996,33.236999999999995,28.468000000000004,21.304000000000002,25.328000000000003,33.893,26.429000000000002
40,40,2.0,3.0,3.0,5.0,5.0,2.0,6.0,4.0,1.0,5.0,2,0,3,30,0,1,11,13,14,67,11,14,37.963,36.756,43.306999999999995,41.393,40.415,32.981,38.292,34.568000000000005,28.703000000000003,33.931999999999995
41,41,1.0,1.0,1.0,2.0,1.0,5.0,3.0,3.0,2.0,2.0,1,0,0,19,0,1,16,15,12,56,17,14,18.355,3.733,5.8629999999999995,9.101,28.081,19.968,22.163,11.584000000000001,20.096,12.882
